territorio,nome_comune,x,y,distanza_km,occ_2011,occ_2024,pct_2011,pct_2024,donne_15piu_2024,rango_2024,ruolo
084019,Joppolo Giancaxio,373022,4138404,77.4,25.0,30.0,60.8,63.3,503,143,
084020,Lampedusa e Linosa,281852,3932477,296.0,22.3,32.2,40.3,77.7,2716,87,
084021,Licata,403942,4113462,108.2,17.7,23.0,9.7,13.6,15216,337,
084022,Lucca Sicula,352545,4158135,59.6,28.5,35.1,81.0,91.8,726,32,
084023,Menfi,321378,4164327,69.4,19.1,25.5,20.5,27.2,5385,284,
084024,Montallegro,355621,4139231,77.4,20.3,25.8,28.5,31.3,1034,268,
084025,Montevago,320050,4174003,63.6,21.1,26.3,33.8,34.9,1233,254,
084026,Naro,389779,4126073,92.1,15.4,23.6,2.3,16.4,3097,326,
084027,Palma di Montechiaro,390472,4115803,102.3,13.6,19.9,0.5,2.6,9546,380,
084028,Porto Empedocle,367022,4130442,85.2,16.5,22.1,5.4,6.7,6992,364,
084029,Racalmuto,389922,4139611,79.1,18.2,24.3,13.3,20.8,3349,309,
084030,Raffadali,369473,4140508,75.1,22.2,31.7,39.5,75.4,5388,96,
084031,Ravanusa,410073,4122262,102.3,17.3,23.1,7.9,14.4,4612,334,
084032,Realmonte,362765,4130730,85.1,18.7,24.3,17.9,20.5,1972,310,
084033,Ribera,349462,4147590,70.6,21.5,27.1,36.4,39.7,8034,235,
084034,Sambuca di Sicilia,336029,4169201,56.5,24.1,31.0,52.6,71.3,2394,112,
084035,San Biagio Platani,370573,4153251,62.4,18.0,20.5,11.3,3.1,1329,378,
084036,San Giovanni Gemini,380706,4164321,52.8,23.1,27.1,45.4,39.5,3303,236,
084037,Santa Elisabetta,370887,4144892,70.8,19.6,28.3,23.8,49.5,973,197,
084038,Santa Margherita di Belice,326405,4172663,59.9,19.9,28.2,26.4,48.5,2734,201,
084039,Sant'Angelo Muxaro,367857,4147473,68.2,20.9,25.0,31.3,22.6,541,302,
084040,Santo Stefano Quisquina,368926,4162174,53.5,19.4,24.9,22.6,22.3,1864,303,
084041,Sciacca,331388,4157375,68.9,22.9,28.0,44.6,47.2,17453,206,
084042,Siculiana,357861,4135500,80.8,19.1,23.1,20.5,14.6,1849,333,
084043,Villafranca Sicula,348311,4159143,59.9,23.3,30.3,46.7,66.4,600,131,
085001,Acquaviva Platani,384801,4158319,59.7,20.1,21.6,27.4,5.6,388,368,
085002,Bompensiere,393047,4147564,72.5,16.1,14.1,3.6,0.0,220,390,minimo 2024
085003,Butera,422509,4117126,112.5,17.6,26.2,9.5,34.6,1879,255,
085004,Caltanissetta,412799,4146989,81.9,28.5,31.1,81.0,71.5,26565,111,
085005,Campofranco,384865,4149861,67.9,19.6,26.7,23.8,37.7,1260,243,
085006,Delia,404214,4134080,89.2,23.9,30.3,51.8,67.2,1829,128,
085007,Gela,435720,4104967,129.6,16.2,22.4,4.1,9.7,31504,352,
085008,Marianopoli,402765,4161887,63.9,16.9,19.0,6.7,1.0,738,386,
085009,Mazzarino,438430,4123440,115.9,18.1,25.8,12.3,30.5,4919,271,
085010,Milena,388835,4146332,72.3,23.6,27.7,49.0,43.6,1236,220,
085011,Montedoro,395848,4146148,74.8,16.3,22.2,4.6,7.9,631,359,
085012,Mussomeli,395774,4156646,65.1,26.6,31.5,69.0,73.6,4558,103,
085013,Niscemi,447848,4111248,131.3,13.2,20.1,0.3,2.8,10900,379,
085014,Resuttano,417155,4165826,69.9,20.4,25.8,28.7,31.0,798,269,
085015,Riesi,419311,4128404,101.1,15.0,23.1,1.5,13.8,4642,336,
085016,San Cataldo,405265,4152201,73.5,23.8,29.7,50.5,60.3,9402,155,
085017,Santa Caterina Villarmosa,422857,4160024,78.0,18.3,22.3,13.8,9.2,2130,354,
085018,Serradifalco,400324,4144815,77.8,20.7,25.8,30.3,31.5,2552,267,
085019,Sommatino,412445,4130737,95.7,17.2,22.9,7.7,12.1,2916,343,
085020,Sutera,389796,4153264,66.0,21.0,27.9,32.6,45.6,563,212,
085021,Vallelunga Pratameno,393924,4174051,48.9,15.8,20.7,3.1,3.6,1413,376,
085022,Villalba,399534,4166053,58.7,15.0,17.9,1.5,0.3,638,389,
086001,Agira,459176,4163311,105.0,18.7,26.4,17.9,35.9,3380,250,
086002,Aidone,456662,4142407,114.9,19.8,25.5,25.6,26.2,1892,288,
086003,Assoro,450247,4161716,98.2,18.8,25.6,19.2,28.7,2172,278,
086004,Barrafranca,429223,4135475,100.8,16.1,25.2,3.6,24.1,5379,296,
086005,Calascibetta,434900,4165634,83.4,23.7,30.3,50.0,66.2,1835,132,
086006,Catenanuova,473298,4158331,119.7,17.0,23.0,6.9,12.8,1958,340,
086007,Centuripe,477678,4161768,122.0,19.7,24.9,24.6,21.8,2240,305,
086008,Cerami,457760,4185660,94.5,21.1,25.6,33.8,27.7,875,282,
086009,Enna,433965,4152992,90.8,29.9,34.5,87.2,89.2,11805,42,
086010,Gagliano Castelferrato,459633,4175505,99.9,24.9,28.2,59.0,49.0,1480,199,
086011,Leonforte,443816,4166132,90.4,17.9,25.1,10.8,23.8,5470,297,
086012,Nicosia,448179,4178106,88.4,24.1,31.4,52.6,73.1,5767,105,
086013,Nissoria,450640,4171727,93.4,24.9,30.2,59.0,65.1,1230,136,
086014,Piazza Armerina,441329,4136106,108.1,24.1,29.5,52.6,57.7,9289,165,
086015,Pietraperzia,423304,4140362,93.3,16.0,22.5,3.3,10.3,2919,350,
086016,Regalbuto,470535,4167167,113.3,19.0,24.0,19.7,18.7,2909,317,
